question,answer,keywords
"Consider an elliptically shaped rail PQ in the vertical plane with OP = 3 m and OQ = 4m. A block of mass 1 kg is pulled along the rail from P to Q with a force of 18 N, which is always parallel to line PQ (see the figure given). Assuming no frictional losses, the kinetic energy of the block when it reaches Q is (n × 10) Joules. The value of n is (take acceleration due to gravity = 10 ms–2)",(5) Sol. Kf – Ki = Wall Kf = Wext + Wgr = 18 × 5 – 1 × 10 × 4 = 50 = 5 × 10,mechanics energy
"A wire, which passes through the hole in a small bead, is bent in the form of quarter of a circle. The wire is fixed vertically on ground as shown in the figure. The bead is released from near the top of the wire and it slides along the wire without friction. As the bead moves from A to B, the force it applies on the wire is [JEE(Advanced) 2014] A 90°","ns. (D) Sol. By circular motion equation mg cosθ –2 mv R = N by conservation of energy ( ) 2 1mv mgR1 cos 2 = − θ ( ) 2 mv 2mg1 cos R = − θ So, mg cos θ – 2mg (1 – cos θ) = N ⇒ N = mg (3 cosθ – 2) For 0 ≤ θ < cos–1 2 3       , N is positive so, N on ball is outward & its reaction force on wire is inward. for θ > cos–1 2 3       , N is negative, So, N on ball is inward, & its reaction force on wire is outward.",mechanics circular_motion conservation energy
"An ideal gas is in thermodynamic equilibrium. The number of degrees of freedom of a molecule of the gas in n. The internal energy of one mole of the gas is Un and the speed of sound in the gas is vn. At a fixed temperature and pressure, which of the following is the correct option ? [JEE(Advanced) 2023]","ns. (C) Sol. 1 frT U fnrT 2 2 = = ∴ A and B are wrong. sound RT 2 RT v 1 M f M γ   = = +     ⇒ more 'f', less 'v' 5 7",thermodynamics waves fluid mechanics energy ideal_gas
"A stationary tuning fork is in resonance with an air column in a pipe. If the tuning fork is moved with a speed of 2 ms−1 in front of the open end of the pipe and parallel to it, the length of the pipe should be changed for the resonance to occur with the moving tuning fork. If the speed of sound in air is 320 ms−1, the smallest value of the percentage change required in the length of the pipe is ______.","ns. (0.62 to 0.64) Sol. ∝1 1 f ⇒ =1 k f ....(1) (1 ⇒ initial length of pipe)   =   −    T 2 V k f V V { → T 2 V Speedoftuningfork, newlengthofpipe} ....(2) (1) ÷ (2) T 2 1 V V V − =   2 T 1 V V 1 1 V − − = −   2 1 T 1 V V − − =    − − × = × =−   2 1 1 2 100 100 0.625 320 Therefore smallest value of percentage change required in the length of pipe is 0.625.",waves resonance
"A source, approaching with speed u towards the open end of a stationary pipe of length L, is emitting a sound of frequency fs. The farther end of the pipe is closed. The speed of sound in air is v and f0 is the fundamental frequency of the pipe. For which of the following combination(s) of u and fs, will the sound reaching the pipe lead to a resonance ? [JEE(Advanced) 2021]","ns. (A, D) Sol. s v f f v u   =   −   (A) 0 0 v f f 5f v 0.8v   = =   −   (B) 0 0 v f 2f 10f v 0.8v   = =   −   (C) 0 0 v f 0.5f 2.5f v 0.8v   = =   −   (D) 0 0 v f 1.5f 3f v 0.5v   = =   −   close All odd harmonics are available in closed pipe therefore correct Answer (A, D).",optics waves resonance
"In an experiment to measure the speed of sound by a resonating air column, a tuning fork of frequency 500 Hz is used. The length of the air column is varied by changing the level of water in the resonance tube. Two successive resonances are heard at air columns of length 50.7 cm and 83.9 cm. Which of the following statements is (are) true ? [JEE(Advanced) 2018]","ns. (A, C or A, B, C) Sol. Let n1 harmonic is corresponding to 50.7 cm & n2 harmonic is corresponding 83.9 cm. since both one consecutive harmonics. ∴ their difference = 2 λ ∴ 2 λ = (83.9 – 50.7) cm 2 λ = 33.2 cm = 66.4 cm ∴ 4 λ = 16.6 cm length corresponding to fundamental mode must be close to 4 λ & 50.7 cm must be closed to an odd multiple of this length as 16.6 × 3 = 49.8 cm. therefore 50.7 is 3rd harmonic If end correction is e, then e + 50.7 = 3 4 λ e = 49.8 – 50.7 = –0.9 cm speed of sound, v = fλ ∴ v = 500 × 66.4 cm/sec = 332.000 m/s",optics waves resonance
A stationary source emits sound of frequency f0 = 492 Hz. The sound is reflected by a large car approaching the source with a speed of 2 ms–1. The reflected signal is received by the source and superposed with the original. What will be the beat frequency of the resulting signal in Hz ? (Given that the speed of sound in air is 330 ms–1 and the car reflects the sound at the frequency it has received).,"ns. (6) Sol. Frequency of sound as received by large car approaching the source. f1 = + +   =    0 0 C V 330 2 f 492Hz. C 330 This car now acts as source for reflected sound wave ∴ freflected = f1 frequency of sound received by source, f2 =     −   reflected 0 C f C V =   ×   −   1 330 f 330 2 = × × 330 332 492Hz 328 330 ∴ Beat frequency = |f0 – f2| = 332 1 492 328   − ×     Hz = 6 Hz",optics waves
"Two satellites P and Q are moving in different circular orbits around the Earth (radius R). The heights of P and Q from the Earth surface are hP and hQ, respectively, where hp = R/3. The accelerations of P and Q due to Earth’s gravity are gP and gQ, respectively. If gP /gQ = 36/25, what is the value of hQ? [JEE(Advanced) 2023]",g r GM g r r   = =    2 Q P r 36 25 r   =    ; Q P r 6 r 5= Q P 6 r r 5= Q 6 R R h R 5 3   + = +     Q 24 9 3 h R R R R 15 15 5 = − = =,mechanics
"Two spherical stars A and B have densities ρA and ρB, respectively. A and B have the same radius, and their masses MA and MB are related by MB = 2MA. Due to an interaction process, star A loses some of its mass, so that its radius is halved, while its spherical shape is retained, and its density remains ρA. The entire mass lost by A is deposited as a thick spherical shell on B with the density of the shell being ρA. If νA and νB are the escape velocities from A and B after the interaction process, the ratio B 1/3 A 10n 15 ν = ν . The value of n is _______.",ns. (2.2 - 2.4) Sol. Given RA = RB = R MB = 2MA Calculation of escape velocity for A: Radius of remaining star = A R 2 . Mass of remaining star = 3 A A A R M 4 3 8 8 ρ π = 2 A/B A A/2–GM 1mv 0 R 2+ = A/B A A A/2 2GM GM v R 2R ⇒ = = Calculation of escape velocity for B Mass collected over A 7 B M8= Let the radius of B becomes r. ( ) 3 3 3 B A A A 4 7 4 r–R R 3 8 3 ∴ π ρ = ρ π ( )1/3 3 3 3 R B 7 15 R R R 8 2 ⇒π = + = 2 B A A 1/3 1/3 V 23GM 23GM R 2 4 15 R 8 15 2 ∴ = = × × A B 1/3 23GM V 2 15 R ∴ = × B 1/3 1/3 A V 23 10 2.30 V 15 15 × ∴ = = n = 2.30,mechanics fluid mechanics
"The distance between two stars of masses 3MS and 6MS is 9R. Here R is the mean distance between the centers of the Earth and the Sun, and MS is the mass of the Sun. The two stars orbit around their common center of mass in circular orbits with period nT, where T is the period of Earth’s revolution around the Sun. The value of n is _______.",ns. (9) Sol. Circular orbits 2 S R T 2 GM = π Binary stars ( ) ( ) 3 S S 9R nT 2 G3M 6M = π + 3 3 S S R R n 2 9 2 GM GM × π = × π n = 9,mechanics
"Consider a spherical gaseous cloud of mass density ρ(r) in free space where r is the radial distance from its center. The gaseous cloud is made of particles of equal mass m moving in circular orbits about the common center with the same kinetic energy K. The force acting on the particles is their mutual gravitational force. If ρ(r) is constant in time, the particle number density n(r) = ρ(r)/m is : [G is universal gravitational constant] [JEE(Advanced) 2019]","ns. (D) Sol. Let total mass included in a sphere of radius r be M. m r M r M m For a particle of mass m, 2 2 GMm mv r r = ⇒ GMm 2K r = ⇒ 2Kr M Gm = ∴ 2Kdr dM Gm = ⇒ (4πr2dr)ρ = 2Kdr Gm ⇒ ρ = 2 K 2 rGm π ∴ 2 2 K n m 2 rmG ρ = = π",mechanics thermodynamics fluid mechanics energy gravitation
"A rocket is launched normal to the surface of the Earth, away from the Sun, along the line joining the sun and the Earth. The Sun is 3 × 105 times heavier than the Earth and is at a distance 2.5 ×104 times larger than the radius of the Earth. The escape velocity from Earth's gravitational field is ve = 11.2 km s–1. The minimum initial velocity (vs) required for the rocket to be able to leave the Sun-Earth system is closest to (Ignore the rotation and revolution of the Earth and the presence of any other planet) [JEE(Advanced) 2017]","ns. (C) Sol. Given e e e 2GM v 11.2km/sec= R = From energy conservation 2 s e s e GMm GMm 1mv–– 0–0 2 r R = where, r = distance of rocket from Sun e s s e 2GM 2GM v R r ⇒ = + given : Ms = 3 × 105 Me & r = 2.5 × 104 Re 5 e e s 4 e e 2GM 2G3 10M v R 2.5 10R × ⇒ = + × 5 e 4 e 2GM 3 10 1 R 2.5 10   × = +   ×   e e 2GM 13 R = × s v 42km/s ⇒ ",mechanics electromagnetism conservation energy gravitation
"A bullet is fired vertically upwards with velocity v from the surface of a spherical planet. When it reaches its maximum height, its acceleration due to the planet's gravity is 1/4th of its value at the surface of the planet. If the escape velocity from the planet is vesc = v N, then the value of N is (ignore energy loss due to atmosphere)",. (2) Sol. = =   +     2 g g g' 4 h 1 R 1 + h R = 2 =h R ...(i) So velocity of particle becomes zero at h = R given vesc = N v so = 2GM N R v ...(ii) Applying conservation of energy − + =− + 2 GMm 1 GMm m 0 R 2 2R v on solving v2 = GM R so v = GM R putting in equation (ii) 2GM R = GM N R comparing N = 2,mechanics conservation energy
"A large spherical mass M is fixed at one position and two identical point masses m are kept on a line passing through the centre of M (see figure). The point masses are connected by a rigid massless rod of length  and this assembly is free to move along the line connecting them. All three masses interact only through their mutual gravitational interaction. When the point mass nearer to M is at a distance r = 3 from M, the tension in the rod is zero for   =     M m k 288 . The value of k is:",. (7) Sol. Due to gravitational interaction connected masses have some acceleration. Let both small masses are moving with acceleration 'a' towards larger mass M Force eq. for mass nearer to larger mass ( ) − =   2 2 2 GMm Gm ma 3 ... (i) Force eq. for mass away from larger mass ( ) + =   2 2 2 GMm Gm ma 4 ... (ii) from equation (i) & (ii) − = +     2 2 2 2 GM Gm GM Gm 9 16 ⇒ − = + M M m m 9 16 ⇒ = 7M 2m 144   ⇒ = =     7M M m k 288 288 ⇒ K = 7,mechanics gravitation
"A spherical body of radius R consists of a fluid of constant density and is in equilibrium under its own gravity. If P(r) is the pressure at r(r < R), then the correct option(s) is(are) :- [JEE(Advanced) 2015]","(B, C) Sol. r dr P+dP dF = [P – (P + dP)]A ( ) 2 Gmdm dPA r ⇒ =− ( ) 3 2 P r 3 2 2 0 R Mr G 4ar dr R dP r 4 r ρ ⇒ =− π ∫ ∫ ∴ 2 2 GM r P 1 2R R   ρ = −    ",mechanics thermodynamics fluid mechanics
"A planet of radius 1 R (radius of Earth) 10 = × has the same mass density as Earth. Scientists dig a well of depth R 5 on it and lower a wire of the same length and of linear mass density 10–3 kgm–3 into it. If the wire is not touching anywhere, the force applied at the top of the wire by a person holding it in place is (take the radius of Earth = 6 × 106 m and the acceleration due to gravity on Earth is 10 ms–2) [JEE(Advanced) 2014]",. (B) Sol. G 4Gr E 3 π ρ = dF = EGλdr R 4R 5 4G F rdr 3 π ρλ =∫ R 2 4R 5 4G r 3 2   π ρλ =     2 2 4G 16R R 3 2 25   π ρλ = −   ×   2 4 9 G R 6 25 π = ρλ× 2 e 3 e R 4 M 9 F G 4 6 25 100 R 3 π = × ×λ× × π After solving [F ⇒ 108 N],mechanics fluid mechanics
"A string of length 1 m and mass 2 × 10–5 kg is under tension T. when the string vibrates, two successive harmonics are found to occur at frequencies 750 Hz and 1000 Hz. The value of tension T is _______",s. (5) Sol. P T f 2 µ =  P T 750 2= µ ....(1) P 1 T 1000 2 + = µ ....(2) 4 P 1 3 P + = ∴ P = 3 ⇒ 1000 = 5 4 T 2 2 10− × ∴ T = 5N,mechanics
"Answer the following by appropriately matching the lists based on the information given in the paragraph. A musical instrument is made using four different metal strings, 1, 2, 3 and 4 with mass per unit length µ, 2µ, 3µ and 4µ respectively. The instrument is played by vibrating the strings by varying the free length in between the range L0 and 2L0. It is found that in string-1 (µ) at free length L0 and tension T0 the fundamental mode frequency is f0. List-I gives the above four strings while list-II lists the magnitude of some quantity. List-I List-II (I) String-1(µ) (P) 1 (II) String-2 (2µ) (Q) 1/2 (III) String-3 (3µ) (R) 1/ 2 (IV) String-4 (4µ) (S) 1/ 3 (T) 3/16 (U) 1/16","(A) Sol. For string (1) Length of string = L0 It is vibrating in Ist harmonic i.e. fundamental mode. L0 T, 0 µ f0 = 0 0 T 1 (P) 2L ⇒ µ For string (2) Length of string = 0 3L 2 It is vibrating in IIIrd harmonic but frequency is still f0. 0 3v f 2L = 3L 2 0 2, T2 µ f0 = 2 0 T 3 3L 2 2 2 µ       ⇒ 0 2 0 0 0 T T 1 1 f L 2 2L = = µ µ ⇒ 0 2 T T 2 = ⇒ (Q) For string (3) Length of string = 0 5L 4 It is vibrating in 5th harmonic but frequency is still f0. 0 5V f 2L = JEE Advanced Physics 10 Years Topicwise Questions with Solutions ® 4 5L 4 0 T3, 3 µ ⇒ f0 = 3 0 0 0 T T 5 1 5L 3 2L 2 4 = µ µ       ⇒ 3 0 0 0 T T 2 1 L 3 2L = µ µ 0 3 3T T (T) 16 = ⇒ For string (4) Length of string = 0 7L 4 It is vibrating in 14th harmonic but frequency is still f0. 7L 4 0 14 loops T , 4 4 µ 0 14v f 2L = ⇒ 0 4 0 0 0 T T 14 1 f 7L 4 2L 2 4 = = µ µ       ⇒ 0 0 4 4 0 0 T T T 4 1 T (U) L 4 2L 16 = ⇒ = ⇒ µ µ",mechanics optics waves dimensional analysis
A block M hangs vertically at the bottom end of a uniform rope of constant mass per unit length. The top end of the rope is attached to a fixed rigid support at O. A transverse wave pulse (Pulse 1) of wavelength λ0 is produced at point O on the rope. The pulse takes time TOA to reach point A. If the wave pulse of wavelength λ0 is produced at point A (Pulse 2) without disturbing the position of M it takes time TAO to reach point O. Which of the following options is/are correct ? [JEE(Advanced) 2017],") Speed of wave is property of medium so time taken to cross the string will be equal (B) Speeds are same but velocity is vector, has opposite directions (C) Wavelength λ= = µ v 1 T f f and TO > TA (D) Velocity of any pulse is = µ T v and it is property of medium.",mechanics optics waves dimensional analysis mathematical physics
One end of a taut string of length 3m along the x–axis is fixed at x = 0. The speed of the waves in the string is 100 ms–1. The other end of the string is vibrating in the y direction so that stationary waves are set up in the string. The possible waveform (s) of these stationary waves is(are) :- [JEE(Advanced) 2014],"(A, C, D) Sol. At x = 0 y = 0 x = 3 y 0 100m/s k   ≠   ω=   The equation satisfying all three conditions is correct. Hence answer ACD",waves
"An α-particle (mass 4 amu) and a singly charged sulfur ion (mass 32 amu) are initially at rest. They are accelerated through a potential V and then allowed to pass into a region of uniform magnetic field which is normal to the velocities of the particles. Within this region, the α-particle and the sulfur ion move in circular orbits of radii rα and rs, respectively. The ratio (rs/rα) is______.",s. (4) Sol. 2mgV mv r qB qB = 2P K.E qV 2m= = S r 32 2 4 r 1 4 α = × =,mechanics electromagnetism magnetic_field
"Two concentric circular loops, one of radius R and the other of radius 2R, lie in the xy-plane with the origin as their common center, as shown in the figure. The smaller loop carries current 1 I in the anti-clockwise direction and the larger loop carries current 2 I in the clockwise direction, with 2 1 I >2I . B  (x, y) denotes the magnetic field at a point (x, y) in the xy-plane. Which of the following statement(s) is(are) current? [JEE(Advanced) 2021] R O 2R I1 I2 y x",", B) Sol. B1 B2 ⊗ I1 I B1 B2 ⊗ ⊗ B1 B2 ⊗ (A) 0 3 id r dB 4 r µ × = π     d   is in xy plane & r  is also in xy plane so dB  is perpendicular to xy plane (B) Due to symmetry it depends only on 2 2 r x y = + (C) At centre 0 1 1 I B 2R µ = ; 0 2 2 2 1 I B B B 4R µ = ⇒ > bu as we approach towards first loop B1 increases to infinity hence B1 dominates. So it would be zero at some point between inner loops and centre.",mechanics electromagnetism magnetic_field
"A circular coil of radius R and N turns has negligible resistance. As shown in the schematic figure, its two ends are connected to two wires and it is hanging by those wires with its plane being vertical. The wires are connected to a capacitor with charge Q through a switch. The coil is in a horizontal uniform magnetic field Bo parallel to the plane of the coil. When the switch is closed, the capacitor gets discharged through the coil in a very short time. By the time the capacitor is discharged fully, magnitude of the angular momentum gained by the coil will be (assume that the discharge time is so short that the coil has hardly rotated during this time)- [JEE(Advanced) 2020] Bo",Sol. Torque experienced by circular loop = M B×   where M  is magnetic moment B  is magnetic field ∴ τ = iπR2N B0 [at the instant shown θ = π/2] ∴ dt τ  =dL  = iπR2NB0 dt = QπR2N B0[idt = Q],mechanics electromagnetism magnetic_field momentum resistance
"Two infinitely long straight wires lie in the xy-plane along the lines x = ±R. The wire located at x = +R carries a constant current I1 and the wire located at x = –R carries a constant current I2. A circular loop of radius R is suspended with its centre at (0, 0, 3R) and in a plane parallel to the xy-plane. This loop carries a constant current I in the clockwise direction as seen from above the loop. The current in the wire is taken to be positive if it is in the +ˆ j direction. Which of the following statements regarding the magnetic field B  is (are) true ?  cannot be equal to zero at the origin (0, 0, 0)","(A, B, D) Sol. 1 Z C O x = –R x = R –Y w1 Y (0,0,√3R) (A) At origin, B 0= due to two wires if I1 = I2, hence ( ) net B  at origin is equal to B  due to ring, which is non-zero. (B) If I1 > 0 and I2 < 0, B  at origin due to wires will be along +ˆ kdirection and B  due to ring is along ˆ k− direction and hence B  can be zero at origin. (C) If I1 < 0 and I2 > 0, B  at origin due to wires is along ˆ k− and also along ˆ k− due to ring, hence B  cannot be zero. (D) Bx B2 B1 Z X I2 I1 At centre of ring, B  due to wires is along x-axis, Hence z-component is only because of ring which ( ) 0 i ˆ B k 2R µ = − ",mechanics electromagnetism magnetic_field
"A moving coil galvanometer has 50 turns and each turn has an area 2 × 10–4 m2. The magnetic field produced by the magnet inside the galvanometer is 0.02 T. The torsional constant of the suspension wire is 10–4 N m rad–1. When a current flows through the galvanometer, a full scale deflection occurs if the coil rotates by 0.2 rad. The resistance of the coil of the galvanometer is 50 Ω. This galvanometer is to be converted into an ammeter capable of measuring current in the range 0 – 1.0 A. For this purpose, a shunt resistance is to be added in parallel to the galvanometer. The value of this shunt resistance, in ohms, is________. [JEE(Advanced) 2018] Answer Q.8, Q.9 and Q.10 by appropriately matching the information given in the three columns of the following table. A charged particle (electron or proton) is introduced at the origin (x = 0, y = 0, z = 0) with a given initial velocity  v. A uniform electric field  E and a uniform magnetic field  B exist everywhere. The velocity  v, electric field  E and magnetic field  B are given in column 1, 2 and 3, respectively. The quantities E0, B0 are positive in magnitude. Column-1 Column-2 Column-3 (I) Electron with E B 0 0 ˆ v 2 x =  (i) = 0 ˆ E Ez (P) 0 ˆ B Bx =−  (II) Electron with E B 0 0 ˆ v y =  (ii) 0 ˆ E Ey =−  (Q) 0 ˆ B Bx = (III) Proton with v 0=  (iii) 0 ˆ E Ex =−  (R) 0 ˆ B By = (IV) Proton with E B 0 0 ˆ v 2 x =  (iv) 0 ˆ E Ex = (S) 0 ˆ B Bz =","(A) Sol. = +    net e B F F F = + ×    qE qv B For particle to move in straight line with constant velocity, net F 0=  ∴ + × =    qE qv B 0",mechanics electromagnetism modern physics fluid mechanics magnetic_field electric_field resistance
In which case will the particle move in a straight line with constant velocity ? [JEE(Advanced) 2017],"(C) Sol. For path to be helix with axis along +ve z-direction, particle should experience a centripetal acceleration in x-y plane. For the given set of options only option (C) satisfy the condition. Path is helical with increasing pitch.",mechanics
A symmetric star shaped conducting wire loop is carrying a steady state current I as shown in the figure. The distance between the diametrically opposite vertices of the star is 4a. The magnitude of the magnetic field at the center of the loop is : [JEE(Advanced) 2017] 4a I,"(B) Sol. The given points (1, 2, 3, 4, 5, 6) makes 360° angle at 'O'. Hence angle made by vertices 1 & 2 with 'O' is 60°. Direction of magnetic field at 'O' due to each segment is same. Since it is symmetric star shape, magnitude will also be same. Magnetic field due to section BC. ( ) ( ) ( ) ( ) = + − = − 1 ki ki B sin 60 sin30 3 1 a 2a Bnet = 12 × B1 = ( ) µ   − =  ",electromagnetism magnetic_field
"In which case would the particle move in a straight line along the negative direction of y-axis (i.e., move along −ˆy) ? [JEE(Advanced) 2017]","Sol. For particle to move in –ve y-direction, either its velocity must be in –ve y-direction (if initial velocity ≠ 0) & force should be parallel to velocity or it must experience a net force in –ve y-direction only (if initial velocity = 0)",mechanics
"A conductor (shown in the figure) carrying constant current I is kept in the x-y plane in a uniform magnetic field  B. If F is the magnitude of the total magnetic force acting on the conductor, then the correct statement(s) is (are) [JEE(Advanced) 2015] π/6 π/4 L R L R I R R","(A, B, C) Sol. ( ) = ×    F IDisplacement B as magnetic field is uniform ( ) = + ×   ˆ F I 2L 2R i B When  B is along y or z axis F ∝ (L + R) When  B is along x-axis F = 0",mechanics electromagnetism magnetic_field
"Two parallel wires in the plane of the paper are distance X0 apart. A point charge is moving with speed u between the wires in the same plane at a distance X1 from one of the wires. When the wires carry current of magnitude I in the same direction, the radius of curvature of the path of the point charge is R1. In contrast, if the currents I in the two wires have directions opposite to each other, the radius of curvature of the path is R2. If 0 1 X 3 X = , and 1 2 R R value of is",". (3) Sol. If current is in same direction, then magnetic field at point P will be 0 0 1 0 0 I I B x 2x 2 2 3 3 µ µ = −     π π         0 1 0 3 I B 4 x µ = π If current is in opposite direction, then magnetic field at point P will be B2 = 0 0 0 0 I I x 2x 2 2 3 3 µ µ +     π π         B2 = 0 0 9 I 4 x µ π Radius of curvature, R = mu qB 1 2 2 1 R B 3 R B= =",electromagnetism magnetic_field
"Two point-like objects of masses 20 gm and 30 gm are fixed at the two ends of a rigid massless rod of length 10 cm. This system is suspended vertically from a rigid ceiling using a thin wire attached to its center of mass, as shown in the figure. The resulting torsional pendulum undergoes small oscillations. The torsional constant of the wire is 1.2 × 10−8 N m rad−1. The angular frequency of the oscillations is n × 10−3 rad s−1. The value of n is _____.",(10) Sol. 20gm 30gm g 6cm 4cm CM 2 I T 2 C π = = π ω C I ⇒ω= Where I = moment of inertia I = (30) (4)2 + (20) (6)2 = 1200 gm-cm2 = 1.2 × 10–4 kg-m2 8 4 1.2 10 1.2 10 − − × ⇒ω= × 4 10− ⇒ω= ω = (10–2) n × 10–3 = 10–2 ⇒ n = 10,mechanics optics waves
"On a frictionless horizontal plane, a bob of mass m = 0.1 kg is attached to a spring with natural length l0 = 0.1 m. The spring constant is k1 = 0.009 Nm–1 when the length of the spring l > l0 and is k2 = 0.016 Nm–1 when l < l0. Initially the bob is released from l = 0.15 m. Assume that Hooke's law remains valid throughout the motion. If the time period of the full oscillation is T = (nπ) s, then the integer closest to n is ________.","(6) Sol. k m 0 1 k k > → =   0 2 k k < → =   Time period of oscillation, 1 2 m m T k k =π +π .1 0.1 T 0.009 0.016 0 =π +π T 0.3 0.4 π π = + ⇒ 0.7 T 0.12 = π ⇒ T = 5.83π T ≈ 6π So, n = 6",mechanics
"A spring-block system is resting on a frictionless floor as shown in the figure. The spring constant is 2.0 N m–1 and the mass of the block is 2.0 kg. Ignore the mass of the spring. Initially the spring is in an unstretched condition. Another block of mass 1.0 kg moving with a speed of 2.0 m s–1 collides elastically with the first block. The collision is such that the 2.0 kg block does not hit the wall. The distance, in metres, between the two blocks when the spring returns to its unstretched position for the first time after the collision is _____.",. (2.09) Sol. m T 2 2 sec k = π = π block returns to original position in T sec 2=π ( ) ( ) 2 2 d 3.14 2.0933m 3 3 = π = = d = 2.09 m,mechanics elastic
"A block with mass M is connected by a massless spring with stiffness constant k to a rigid wall and moves without friction on a horizontal surface. The block oscillates with small amplitude A about an equilibrium position x0. Consider two cases : (i) when the block is at x0; and (ii) when the block is at x = x0 + A. In both the cases, a particle with mass m (","(A, B, D) Sol. i f M M m T 2 ,T 2 K K + = π = π case (i) : M (Aω) = (M + m)V ∴ Velocity decreases at equilibrium position. By energy conservation f i M A A M m = + case (ii) : No energy loss, amplitude remains same At equilibrium (x0) velocity = Aω. In both cases ω decreases so velocity decreases in both cases",mechanics waves conservation energy
"Two independent harmonic oscillators of equal mass are oscillating about the origin with angular frequencies ω1 and ω2 and have total energies E1 and E2, respectively. The variations of their momenta p with positions x are shown in the figures. If = 2 a n b and α =n R , then the correct equation (s) is (are) [JEE(Advanced) 2015] Energy = E2 R x p p b a x",", D) Sol. P1 max = maω1 = b P2 max = mRω2 = R ω = ω 1 2 2 1 n ω = ω 2 2 1 n E1 = ω2 2 1 1m a 2 E2 = ω2 2 2 1m R 2 ω ω ω ω = = = ω ω ω ω 1 2 2 2 2 2 1 1 1 2 2 2 2 2 2 1 2 2 2 E a n E R ω=ω 1 1 2 2 E E = ω ω 1 2 1 2 E E",mechanics energy
A particle of unit mass is moving along the x-axis under the influence of a force and its total energy is conserved. Four possible forms of the potential energy of the particle are given in column I (a and U0 are constants). Match the potential energies in column I to the corresponding statement(s) in column-II . [JEE(Advanced) 2015] Column-I Column-II,")-P,Q,R,T; (B)-Q,S; (C)-P,Q,R,S; (D)-P,R,T Sol. ( )   = −     2 2 0 1 2 U x U x 1 2 a    =− − −       2 0 2 2 U x 2x F 21 2 a a [ ] = −2 2 0 4 2U a x x a ( )( ) = − + 0 4 2U F x a x a x a F = 0, at x = 0, a, –a =− =    = =   0 x a,U 0, U x 0,U 2 ⇒ Oscillate when total ME is less then 0U 2 A → P,Q,R,T (B) ( )   =     2 0 0 U x U x 2 a F = − 0 2 Ux a F = 0, x = 0 B → Q,S (C) ( )       = −             2 2 0 3 2 U x x U x exp 2 a a        =− − + − −               2 2 2 0 2 2 2 2 2 U 2x x x x 2x F exp exp 2 a a a a a [ ]   =− − −     2 2 2 0 4 2 U 2x x exp a x 2 a a ( )( ) [ ] − = + − 2 2 x 0 a 4 U e x x a x a a x = 0, x = –a, x = +a, F = 0 x = 0, U = 0 even function hence minima C → P,Q,R,S (D) ( )   = −     3 0 4 3 U x x U x 2 a 3a [ ]   =− − = −     2 2 2 0 0 3 3 U U 1 x F x a a a a 2a x = +a, x = –a, F = 0 x = –a, U = –0U 3 , x = +a, U = + 0U 3 Hence oscillate about x = –a if T.M.E < 0U 3 D → P,R,T",mechanics dimensional analysis energy
"A slide with a frictionless curved surface, which becomes horizontal at its lower end,, is fixed on the terrace of a building of height 3h from the ground, as shown in the figure. A spherical ball of mass m is released on the slide from rest at a height h from the top of the terrace. The ball leaves the slide with a velocity 0 0 = u ux ˆ and falls on the ground at a distance d from the building making an angle θ with the horizontal. It bounces off with a velocity v  and reaches a maximum height h1. The acceleration due to gravity is g and the coefficient of restitution of the ground is is(are) correct? h 3h → u0 1 3. Which of the following statement(s) [JEE(Advanced) 2023] z g → v x θ d","(A, C, D) Sol. h1 h 3h g x z θ v1 d 1 ˆ ˆ v 2ghi 2g3hk = −  1 ˆ ˆ v 2ghi 2g3h k 3 = + ×  ˆ ˆ 2ghi 2ghk = + 2g3h tan 3 2gh θ= = (θ = 60°) 2 1y 1 v 2gh h h 2g 2g = = = x 2 3h d v t 2gh g × = = × 6h 2gh 2 3h g = = = 1 d 2 3 h =",mechanics
"A person of height 1.6 m is walking away from a lamp post of height 4 m along a straight path on the flat ground. The lamp post and the person are always perpendicular to the ground. If the speed of the person is 60 cm s−1, the speed of the tip of the person’s shadow on the ground with respect to the person is _______ cm s−1.",(40) Sol. x y 4m 1.6m 60cm/s 4 1.6 y y x = − 4y – 4x = 1.6y 2.4 y = 4x X = 0.6y dx dy 0.6 dt dt = × dy 60 0.6 dt = × dy 100cm/s dt ∴ = Speed of tip of person’s Shadow w.r.t person = 100 – 60 = 40 cm/s,
